codigo_bairro,inicio_indice,inicio_ano,melhor_posicao_antes_do_inicio,semanas_antecedencia_melhor_posicao,posicao_na_semana_de_inicio
671,587,2024,3.0,2,21.0
671,598,2024,63.0,1,41.0
671,621,2024,25.0,2,48.0
671,628,2025,18.0,3,45.0
671,640,2025,37.0,1,84.0
671,649,2025,62.0,3,86.0
671,678,2025,54.0,1,79.0
680,577,2024,60.0,1,69.0
680,609,2024,32.0,3,55.0
680,626,2025,17.0,1,19.0
680,629,2025,4.0,2,29.0
680,667,2025,50.0,4,93.0
698,598,2024,74.0,3,24.0
698,601,2024,14.0,2,28.0
698,603,2024,11.0,1,7.0
698,607,2024,1.0,3,38.0
698,613,2024,2.0,3,11.0
698,658,2025,35.0,2,29.0
698,666,2025,29.0,4,59.0
701,550,2023,20.0,1,1.0
701,554,2023,1.0,4,2.0
701,556,2023,1.0,4,6.0
701,558,2023,2.0,4,3.0
701,582,2024,1.0,4,33.0
701,585,2024,4.0,1,47.0
701,627,2025,21.0,1,70.0
701,654,2025,82.0,2,73.0
701,659,2025,10.0,3,88.0
710,548,2023,64.0,1,37.0
710,559,2023,16.0,1,28.0
710,568,2023,17.0,3,49.0
710,582,2024,27.0,2,55.0
710,588,2024,5.0,4,41.0
710,601,2024,36.0,1,19.0
710,660,2025,40.0,4,76.0
728,559,2023,48.0,1,48.0
728,582,2024,38.0,1,58.0
728,589,2024,15.0,4,64.0
728,619,2024,42.0,2,54.0
728,628,2025,39.0,1,41.0
728,660,2025,86.0,4,86.0
728,669,2025,58.0,2,80.0
736,588,2024,86.0,1,94.0
736,598,2024,94.0,4,84.0
736,600,2024,5.0,1,50.0
736,607,2024,8.0,1,28.0
736,612,2024,2.0,3,8.0
736,614,2024,3.0,4,2.0
736,626,2025,28.0,3,36.0
736,630,2025,18.0,3,70.0
736,649,2025,93.0,2,94.0
736,658,2025,60.0,1,71.0
736,660,2025,28.0,1,36.0
736,666,2025,16.0,4,60.0
744,554,2023,7.0,1,21.0
744,558,2023,3.0,2,6.0
744,560,2023,3.0,4,27.0
744,582,2024,30.0,3,31.0
744,587,2024,11.0,3,53.0
744,598,2024,45.0,4,55.0
744,600,2024,9.0,1,3.0
744,603,2024,1.0,1,2.0
744,605,2024,1.0,3,3.0
744,614,2024,24.0,4,40.0
744,618,2024,1.0,1,4.0
744,622,2024,4.0,4,9.0
744,625,2024,1.0,2,32.0
744,649,2025,40.0,4,52.0
744,658,2025,11.0,1,43.0
744,660,2025,11.0,3,35.0
